wotaid,sotaid,book,name,height,reference,humpid,gridid,x,y,lat,long
30,13,S,Coniston Old Man,803,SD272978,NULL,IO84KI,327200,497800,54.370487,-3.1220791
31,NULL,FE,High Raise (Martindale),802,NY448134,NULL,IO84NM,344800,513400,54.512882,-2.8541225
32,14,W,Kirk Fell,802,NY194104,NULL,IO84JL,319400,510400,54.482520,-3.2455403
33,NULL,S,Swirl How,802,NY272005,49,IO84KJ,327200,500500,54.394747,-3.1227412
34,NULL,W,Green Gable,801,NY214107,NULL,IO84JL,321400,510700,54.485530,-3.2147588
35,NULL,S,Lingmell,800,NY209081,NULL,IO84JL,320900,508100,54.462092,-3.2217781
36,NULL,W,Haycock,797,NY144107,NULL,IO84IL,314400,510700,54.484396,-3.3227783
37,NULL,S,Brim Fell,796,SD270985,NULL,IO84KJ,327000,498500,54.376748,-3.1253289
38,NULL,E,Dove Crag,792,NY374104,NULL,IO84ML,337400,510400,54.485064,-2.9677675
39,NULL,FE,Rampsgill Head,792,NY443128,NULL,IO84NM,344300,512800,54.507436,-2.8617310
40,15,NW,Grisedale Pike,791,NY198225,NULL,IO84JO,319800,522500,54.591299,-3.2426675
41,NULL,E,Watson's Dodd,789,NY335195,NULL,IO84LN,333500,519500,54.566334,-3.0300119
42,NULL,S,Allen Crags,785,NY236085,NULL,IO84JL,323600,508500,54.466099,-3.1802389
43,NULL,FE,Thornthwaite Crag,784,NY431100,NULL,IO84NL,343100,510000,54.482142,-2.8797205
44,NULL,S,Glaramara,783,NY247105,19,IO84KL,324700,510500,54.484234,-3.1637817
45,NULL,S,Great Carrs,780,NY270008,NULL,IO84KJ,327000,500800,54.397414,-3.1258947
46,NULL,FE,Kidsty Pike,780,NY447125,NULL,IO84NM,344700,512500,54.504784,-2.8554979
47,NULL,S,Dow Crag,778,SD262977,16,IO84KI,326200,497700,54.369444,-3.1374434
48,NULL,FE,Harter Fell (Mardale),778,NY459093,28,IO84NL,345900,509300,54.476159,-2.8363814
49,17,E,Red Screes,776,NY396087,NULL,IO84ML,339600,508700,54.470055,-2.9334666
50,NULL,NW,Sail,773,NY198202,NULL,IO84JN,319800,520200,54.570634,-3.2420387
51,NULL,NW,Wandope,772,NY188197,NULL,IO84IN,318800,519700,54.565982,-3.2573641
52,NULL,S,Grey Friar,770,NY260003,NULL,IO84KJ,326000,500300,54.392777,-3.1411692
53,NULL,NW,Hopegill Head,770,NY185221,NULL,IO84IO,318500,522100,54.587497,-3.2626694
54,NULL,E,Great Rigg,766,NY356105,NULL,IO84ML,335600,510500,54.485737,-2.9955685
55,18,FE,Stony Cove Pike (Caudale Moor),763,NY418099,NULL,IO84NL,341800,509900,54.481096,-2.8997626
56,19,C,High Raise (Langdale),762,NY280095,NULL,IO84KL,328000,509500,54.475729,-3.1126124
57,NULL,S,Slight Side,762,NY209050,NULL,IO84JK,320900,505000,54.434238,-3.2209489
58,NULL,S,Wetherlam,762,NY288011,52,IO84KJ,328800,501100,54.400365,-3.0982478
59,NULL,FE,Mardale Ill Bell,760,NY447101,NULL,IO84NL,344700,510100,54.483218,-2.8550475
60,NULL,FE,Ill Bell,757,NY436077,35,IO84NK,343600,507700,54.461530,-2.8715648
61,NULL,E,Hart Side,756,NY358197,NULL,IO84MN,335800,519700,54.568429,-2.9944896
62,NULL,W,Red Pike (Buttermere),755,NY160154,NULL,IO84IM,316000,515400,54.526891,-3.2994284
63,20,NW,Dale Head,753,NY223153,NULL,IO84JM,322300,515300,54.526999,-3.2020831
64,NULL,N,Carl Side,746,NY254280,NULL,IO84KP,325400,528000,54.641575,-3.1574259
