"Scheme","DXCC","Reference","Name","Type","Lat","Long","Locator","Roc Code","Historic County","Nearest Postcode","Roc Master_post","Roc Group_hq",""
"UKBOTA","223","B/G-0140","ROC Post Sedbergh","ROC Bunker","54.32506","-2.52134","IO84RH","PRE","West Riding","LA10 5AN","","","🗺️"
"UKBOTA","223","B/G-0141","ROC Post Glossop","ROC Bunker","53.44806","-1.93522","IO93AK","PRE","Derbyshire","SK13 7TL","","","🗺️"
"UKBOTA","223","B/G-0142","ROC Post Buxton Master Post","ROC Bunker","53.27767","-1.86994","IO93BG","COV","Derbyshire","SK17 8AE","true","","🗺️"
"UKBOTA","223","B/G-0143","ROC Post Uttoxeter Master Post","ROC Bunker","52.92166","-1.83531","IO92BW","COV","Derbyshire","DE6 5LN","true","","🗺️"
"UKBOTA","223","B/G-0144","ROC Post Hartington","ROC Bunker","53.13655","-1.80803","IO93CD","COV","Derbyshire","SK17 0AT","","","🗺️"
"UKBOTA","223","B/G-0145","ROC Post Hope","ROC Bunker","53.31351","-1.79148","IO93CH","COV","Derbyshire","SK17 8JD","","","🗺️"
"UKBOTA","223","B/G-0146","ROC Post Brassington","ROC Bunker","53.09380","-1.66113","IO93EC","COV","Derbyshire","DE4 4HN","","","🗺️"
"UKBOTA","223","B/G-0147","ROC Post Baslow","ROC Bunker","53.24682","-1.64135","IO93EF","COV","Derbyshire","DE45 1RL","","","🗺️"
"UKBOTA","223","B/G-0148","ROC Post Church Gresley","ROC Bunker","52.75772","-1.58758","IO92ES","COV","Derbyshire","DE11 9ES","","","🗺️"
"UKBOTA","223","B/G-0149","ROC Post Hulland","ROC Bunker","53.01436","-1.58469","IO93EA","COV","Derbyshire","DE56 2LT","","","🗺️"
"UKBOTA","223","B/G-0150","ROC Post Etwall","ROC Bunker","52.88625","-1.58146","IO92FV","COV","Derbyshire","DE65 6HY","","","🗺️"
"UKBOTA","223","B/G-0151","ROC Post Ambergate Master Post","ROC Bunker","53.05581","-1.47300","IO93GB","COV","Derbyshire","DE56 2GS","true","","🗺️"
"UKBOTA","223","B/G-0152","ROC Post Ashover Master Post","ROC Bunker","53.16886","-1.46533","IO93GE","COV","Derbyshire","S45 0BB","true","","🗺️"
"UKBOTA","223","B/G-0153","ROC Post Melbourne","ROC Bunker","52.82104","-1.45996","IO92GT","COV","Derbyshire","DE73 7NF","","","🗺️"
"UKBOTA","223","B/G-0155","ROC Post Spondon","ROC Bunker","52.93686","-1.39335","IO92HW","COV","Derbyshire","DE21 7BW","","","🗺️"
"UKBOTA","223","B/G-0156","ROC Post Staveley","ROC Bunker","53.27839","-1.34789","IO93HG","COV","Derbyshire","S43 3YG","","","🗺️"
"UKBOTA","223","B/G-0157","ROC Post Whitwell","ROC Bunker","53.28688","-1.20750","IO93JG","COV","Derbyshire","S80 4SS","","","🗺️"
"UKBOTA","223","B/G-0160","ROC Post Holsworthy","ROC Bunker","50.81073","-4.34350","IO70TT","EXE","Devon","EX22 6JN","","","🗺️"
"UKBOTA","223","B/G-0161","ROC Post Horns Cross","ROC Bunker","50.98890","-4.31627","IO70UX","YEO","Devon","EX39 5EA","","","🗺️"
"UKBOTA","223","B/G-0162","ROC Post Woolacombe","ROC Bunker","51.16270","-4.16864","IO71VD","YEO","Devon","EX34 7HN","","","🗺️"
"UKBOTA","223","B/G-0163","ROC Post Great Torrington","ROC Bunker","50.99703","-4.09535","IO70WX","YEO","Devon","EX31 3PS","","","🗺️"
"UKBOTA","223","B/G-0165","ROC Post Hatherleigh","ROC Bunker","50.84523","-4.06936","IO70XU","EXE","Devon","EX20 3QB","","","🗺️"
"UKBOTA","223","B/G-0166","ROC Post Shirwell Master Post","ROC Bunker","51.14421","-4.05225","IO71XD","YEO","Devon","EX31 4HS","true","","🗺️"
"UKBOTA","223","B/G-0167","ROC Post High Bickington","ROC Bunker","50.96513","-3.99080","IO80AX","EXE","Devon","EX37 9EJ","","","🗺️"
"UKBOTA","223","B/G-0168","ROC Post Winkleigh Master Post","ROC Bunker","50.86786","-3.96249","IO80AU","EXE","Devon","EX19 8EZ","true","","🗺️"
"UKBOTA","223","B/G-0169","ROC Post South Molton","ROC Bunker","51.00580","-3.83631","IO81BA","YEO","Devon","EX36 4LB","","","🗺️"
"UKBOTA","223","B/G-0170","ROC Post Witheridge","ROC Bunker","50.88826","-3.75391","IO80CV","EXE","Devon","EX17 4TH","","","🗺️"
"UKBOTA","223","B/G-0171","ROC Post Stockleigh Pomeroy Master Post","ROC Bunker","50.81696","-3.58372","IO80ET","EXE","Devon","EX17 1BE","true","","🗺️"
"UKBOTA","223","B/G-0172","ROC Post Tiverton","ROC Bunker","50.89410","-3.52448","IO80FV","EXE","Devon","EX16 8JR","","","🗺️"
"UKBOTA","223","B/G-0173","ROC Post Kentisbeare Master Post","ROC Bunker","50.85472","-3.34788","IO80HU","YEO","Devon","EX15 2BU","true","","🗺️"
