"UKBOTA Reference","Bunker Name","Type","Area","Latitude","Longitude","OSGR","WAB","Nearest Postcode","Maidenhead"
"B/G-1286","Airbattle HQ - Lulsgate Bottom","WW2 Airbattle HQ","Somerset","51.384119","-2.713844","ST 5042 6525","ST56","BS48 3DY","IO81PJ"
"B/G-1287","Airbattle HQ - Luton","WW2 Airbattle HQ","Bedfordshire","51.887008","-0.366199","TL 1254 2220","TL12","LU2 9JB","IO91TV"
"B/G-1288","Airbattle HQ - Lympne","WW2 Airbattle HQ","Kent","51.085721","1.009238","TR 1085 3613","TR13","TN25 6DB","JO01MC"
"B/G-1289","Airbattle HQ - Madley","WW2 Airbattle HQ","Herefordshire","52.034333","-2.85448","SO 4148 3767","SO43","HR2 9LX","IO82NA"
"B/G-1290","Airbattle HQ - Manston","WW2 Airbattle HQ","Kent","51.350163","1.353323","TR 3360 6657","TR36","CT12 5DF","JO01QI"
"B/G-1291","Airbattle HQ - Market Harbrough","WW2 Airbattle HQ","Leicestershire","52.49968","-0.944194","SP 7177 8961","SP78","LE16 7QB","IO92ML"
"B/G-1292","Airbattle HQ - Martlesham Heath","WW2 Airbattle HQ","Suffolk","52.069711","1.277703","TM 2474 4633","TM24","IP12 4UQ","JO02PB"
"B/G-1293","Airbattle HQ - Matlaske","WW2 Airbattle HQ","Norfolk","52.864578","1.185322","TG 1451 3443","TG13","NR11 7LE","JO02OU"
"B/G-1294","Airbattle HQ - Meir","WW2 Airbattle HQ","Staffordshire","52.964698","-2.10373","SJ 9313 4082","SJ94","ST3 7BH","IO82WX"
"B/G-1295","Airbattle HQ - Merston","WW2 Airbattle HQ","West Sussex","50.817018","-0.737991","SU 8900 0270","SU82","PO20 1LG","IO90PT"
"B/G-1296","Airbattle HQ - Methwold","WW2 Airbattle HQ","Norfolk","52.506088","0.560385","TL 7387 9288","TL79","IP26 4RJ","JO02GM"
"B/G-1297","Airbattle HQ - Middleton St. George(1)","WW2 Airbattle HQ","County Durham","54.514279","-1.427837","NZ 3714 1337","NZ31","DL2 1NJ","IO94GM"
"B/G-1298","Airbattle HQ - Middleton St. George(2)","WW2 Airbattle HQ","County Durham","54.514744","-1.412538","NZ 3813 1343","NZ31","DL2 1NL","IO94HM"
"B/G-1299","Airbattle HQ - Montford Bridge","WW2 Airbattle HQ","Shropshire","52.752995","-2.845513","SJ 4303 1760","SJ41","SY4 1HD","IO82NS"
"B/G-1300","Airbattle HQ - Mount Farm","WW2 Airbattle HQ","Oxfordshire","51.66269","-1.152146","SU 5874 9633","SU59","OX10 7BJ","IO91KP"
"B/G-1301","Airbattle HQ - North Luffenham","WW2 Airbattle HQ","Rutland","52.628664","-0.602896","SK 9466 0435","SK90","LE15 8JT","IO92QP"
"B/G-1302","Airbattle HQ - Oakington","WW2 Airbattle HQ","Cambridgeshire","52.265888","0.070636","TL 4140 6510","TL46","CB24 3AU","JO02AG"
"B/G-1303","Airbattle HQ - Oakley","WW2 Airbattle HQ","Buckinghamshire","51.777806","-1.072299","SP 6410 0920","SP60","HP18 9JT","IO91LS"
"B/G-1304","Airbattle HQ - Old Sarum","WW2 Airbattle HQ","Wiltshire","51.093442","-1.802036","SU 1396 3270","SU13","SP1 3SD","IO91CC"
"B/G-1305","Airbattle HQ - Ossington","WW2 Airbattle HQ","Nottinghamshire","53.178219","-0.893196","SK 7407 6514","SK76","NG23 6ND","IO93NE"
"B/G-1306","Airbattle HQ - Pendeford","WW2 Airbattle HQ","West Midlands","52.626456","-2.156258","SJ 8952 0320","SJ80","WV9 5SH","IO82WP"
"B/G-1307","Airbattle HQ - Perranporth","WW2 Airbattle HQ","Cornwall","50.330146","-5.183572","SW 7352 5265","SW75","TR5 0XS","IO70JH"
"B/G-1308","Airbattle HQ - Pershore","WW2 Airbattle HQ","Worcestershire","52.140641","-2.028594","SO 9814 4915","SO94","WR10 2JY","IO82XD"
"B/G-1309","Airbattle HQ - Peterborough","WW2 Airbattle HQ","Cambridgeshire","52.583343","-0.268692","TL 1740 9980","TL19","PE3 9TR","IO92UO"
"B/G-1310","Airbattle HQ - Pocklington","WW2 Airbattle HQ","East Riding of Yorkshire","53.91993","-0.794953","SE 7924 4776","SE74","YO42 1AD","IO93OW"
"B/G-1311","Airbattle HQ - Podington","WW2 Airbattle HQ","Bedfordshire","52.23578","-0.596227","SP 9596 6066","SP96","NN29 7JQ","IO92QF"
"B/G-1312","Airbattle HQ - Polebrook","WW2 Airbattle HQ","Northamptonshire","52.46958","-0.381074","TL 1007 8697","TL18","PE8 5LZ","IO92TL"
"B/G-1313","Airbattle HQ - Predannack","WW2 Airbattle HQ","Cornwall","49.996989","-5.223879","SW 6905 1574","SW61","TR12 7LH","IN79JX"
"B/G-1314","Airbattle HQ - Ramsbury","WW2 Airbattle HQ","Wiltshire","51.425755","-1.611759","SU 2709 6971","SU26","SN8 2HN","IO91EK"
"B/G-1315","Airbattle HQ - Redhill","WW2 Airbattle HQ","Surrey","51.217858","-0.13497","TQ 3035 4817","TQ34","RH1 5YP","IO91WF"
"B/G-1316","Airbattle HQ - Rednal","WW2 Airbattle HQ","Shropshire","52.84124","-2.945362","SJ 3642 2750","SJ32","SY11 4HN","IO82MU"
"B/G-1317","Airbattle HQ - Rochford","WW2 Airbattle HQ","Essex","51.568334","0.6922","TQ 8668 8893","TQ88","SS2 6XL","JO01IN"
"B/G-1318","Airbattle HQ - Rougham","WW2 Airbattle HQ","Suffolk","52.24347","0.776845","TL 8968 6422","TL86","IP30 9ND","JO02JF"
"B/G-1319","Airbattle HQ - Sawbridgeworth","WW2 Airbattle HQ","Hertfordshire","51.843309","0.123485","TL 4638 1821","TL41","CM21 0LT","JO01BU"
"B/G-1320","Airbattle HQ - Seighford","WW2 Airbattle HQ","Staffordshire","52.824865","-2.209356","SJ 8599 2528","SJ82","ST18 9GZ","IO82VT"
"B/G-1321","Airbattle HQ - Shawbury","WW2 Airbattle HQ","Shropshire","52.801825","-2.674844","SJ 5460 2291","SJ52","SY4 4DR","IO82PT"
"B/G-1322","Airbattle HQ - Shellingford","WW2 Airbattle HQ","Oxfordshire","51.642121","-1.52263","SU 3313 9381","SU39","SN7 8LD","IO91FP"
"B/G-1323","Airbattle HQ - Shobdon","WW2 Airbattle HQ","Herefordshire","52.247224","-2.880244","SO 4000 6137","SO46","HR6 9NR","IO82NF"
"B/G-1324","Airbattle HQ - Shoreham","WW2 Airbattle HQ","West Sussex","50.841024","-0.298464","TQ 1990 0599","TQ10","BN15 0RL","IO90UU"
"B/G-1325","Airbattle HQ - Silloth","WW2 Airbattle HQ","Cumbria","54.883225","-3.374318","NY 1193 5514","NY15","CA7 4QJ","IO84HV"
"B/G-1326","Airbattle HQ - Spittlegate","WW2 Airbattle HQ","Lincolnshire","52.90705","-0.607042","SK 9378 3531","SK93","NG31 9ET","IO92QV"
"B/G-1327","Airbattle HQ - Stapleford Tawney","WW2 Airbattle HQ","Essex","51.650864","0.163196","TQ 4975 9689","TQ49","RM4 1RR","JO01BP"
"B/G-1328","Airbattle HQ - Stoke Orchard","WW2 Airbattle HQ","Gloucestershire","51.948024","-2.097725","SO 9338 2773","SO92","GL52 7AA","IO81WW"
"B/G-1329","Airbattle HQ - Stratford","WW2 Airbattle HQ","Warwickshire","52.165594","-1.691032","SP 2123 5197","SP25","CV37 8BE","IO92DD"
"B/G-1330","Airbattle HQ - Stretton (HMS Blackcap)","WW2 Airbattle HQ","Cheshire","53.349404","-2.522426","SJ 6532 8374","SJ68","WA4 4RF","IO83RI"
"B/G-1331","Airbattle HQ - Swinderby","WW2 Airbattle HQ","Lincolnshire","53.142097","-0.674652","SK 8875 6137","SK86","LN6 9QF","IO93PD"
"B/G-1332","Airbattle HQ - Sywell","WW2 Airbattle HQ","Northamptonshire","52.304064","-0.777989","SP 8342 6803","SP86","NN6 0FL","IO92OH"
"B/G-1333","Airbattle HQ - Tatenhill","WW2 Airbattle HQ","Staffordshire","52.81494","-1.770429","SK 1557 2418","SK12","DE13 8SN","IO92CT"
